backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,backlink_rank,page_rank,domain_rank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode,page_number,source_file,target_domain,source_domain,anchor_length,is_spam_country,is_active,has_good_anchor,Metric,Value
https://causameespecie.blogspot.com/2017/03/,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2017/02/,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2017/02/,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2015/08/2008-qual-seu-recado-para-os.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2015/08/2008-qual-seu-recado-para-os.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2014/11/estelionato-eleitoral-foi-o-que-fhc-fez.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2014/11/estelionato-eleitoral-foi-o-que-fhc-fez.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2015/10/na-globonews-dalmo-dallari-explica.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2015/10/na-globonews-dalmo-dallari-explica.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2016/11/teria-lula-saido-com-piscina-do.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,8.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2016/11/teria-lula-saido-com-piscina-do.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,9.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2014/05/bomba-grafico-mostra-o-quanto-economia.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,9.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2014/05/bomba-grafico-mostra-o-quanto-economia.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,9.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
https://causameespecie.blogspot.com/2013/08/tijolaco-nos-udenistas-ate-noblat.html,200.0,True,True,https://cafenapolitica.com,body,Cafe na política,anchor,,False,,,,False,,,,,,,,,,,9.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,16,False,True,True,,
https://causameespecie.blogspot.com/2013/08/tijolaco-nos-udenistas-ate-noblat.html,200.0,True,True,https://cafenapolitica.com,body,News For This Month:,anchor,,False,,,,False,,,,,,,,,,,9.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,causameespecie.blogspot.com,20,False,True,True,,
